column,desc,dtype,role,unit
거래금액,단위:만원,int,,10000.0
보증금액,,int,,
월세금액,,int,,
종전계약보증금,,int,,
종전계약월세,,int,,
건축년도,,int,,
년,,int,,
월,,int,,
일,,int,,
층,,int,,
거래유형,,str,,
계약연월,OpenAPI함수 입력값,str,,
지역코드,OpenAPI함수 입력값,str,,
일련번호,,str,,
도로명,,str,,
도로명건물본번호코드,,str,,
도로명건물부번호코드,,str,,
도로명시군구코드,,str,,
도로명일련번호코드,,str,,
도로명지상지하코드,,str,,
도로명코드,,str,,
법정동,,str,,
법정동본번코드,,str,,
법정동부번코드,,str,,
법정동시군구코드,,str,,
법정동읍면동코드,,str,,
법정동지번코드,,str,,
아파트,,str,,
전용면적,,str,,
중개사소재지,,str,,
지번,,str,,
해제여부,,str,,
갱신요구권사용,,str,,
지역1,,str,,
지역2,,str,,
해제사유발생일,,date,,
계약일자,,datetime,,
